userId,movieId,rating
1,1,3.2
1,2,1.5
1,3,1.2
1,4,2.4
1,5,2.0
1,6,2.1
1,7,2.0
1,10,1.2
1,11,1.7
1,12,2.0
1,14,1.7
1,15,2.2
1,16,1.3
1,19,3.0
2,2,2.6
2,6,2.6
2,8,1.2
2,9,1.7
2,10,1.7
2,11,2.7
2,12,2.2
2,13,2.1
2,15,2.9
2,17,1.2
2,18,2.4
2,19,1.7
2,20,2.9
3,3,4.6
3,4,1.0
3,6,1.8
3,7,3.7
3,9,2.5
3,11,3.1
3,12,4.5
3,13,2.7
3,16,4.2
3,18,4.6
3,19,2.5
3,20,2.8
4,2,2.2
4,3,3.6
4,5,3.9
4,6,2.5
4,7,4.2
4,9,3.2
4,11,4.1
4,14,2.3
4,15,4.1
4,17,2.8
4,19,3.1
4,20,2.1
5,3,1.3
5,5,1.7
5,7,2.0
5,8,2.7
5,10,2.8
5,12,2.1
5,13,2.9
5,14,3.0
5,15,1.9
5,16,2.1
5,17,3.0
5,18,2.5
5,19,2.4
6,1,2.7
6,2,2.3
6,7,3.7
6,8,3.2
6,9,3.0
6,12,3.5
6,13,3.8
6,14,2.8
6,17,3.9
6,18,2.9
6,19,4.0
7,1,3.3
7,2,2.3
7,3,1.8
7,7,2.7
7,9,2.4
7,10,2.9
7,11,2.9
7,13,2.6
7,15,3.2
7,17,3.8
8,3,3.4
8,5,3.7
8,8,3.3
8,9,3.8
8,10,3.1
8,11,4.4
8,12,4.4
8,14,3.6
8,15,4.1
8,17,3.9
8,18,4.2
8,19,4.1
9,1,1.8
9,2,2.2
9,3,3.8
9,4,1.0
9,5,2.9
9,7,3.6
9,8,2.2
9,9,1.9
9,10,2.3
9,11,2.7
9,13,2.7
9,14,2.7
9,15,2.9
9,16,3.4
9,17,2.4
9,18,4.2
9,19,1.8
9,20,2.8
10,3,4.3
10,4,2.1
10,5,4.2
10,6,2.6
10,7,4.6
10,9,3.5
10,11,4.3
10,12,5.0
10,13,2.9
10,14,3.1
10,16,3.2
10,17,3.2
10,18,4.8
10,19,3.9
10,20,2.8
11,2,1.2
11,3,1.4
11,4,2.8
11,9,2.4
11,10,2.8
11,11,2.1
11,12,2.1
11,13,2.9
11,14,3.0
11,16,2.2
11,17,3.3
11,19,2.6
11,20,2.7
12,2,3.0
12,4,4.4
12,5,2.5
12,6,3.9
12,8,3.8
12,9,3.4
12,10,3.6
12,12,4.4
12,14,3.5
12,15,4.5
12,16,2.8
13,2,2.5
13,3,1.9
13,4,3.0
13,7,2.7
13,9,2.6
13,12,2.8
13,14,3.5
13,15,3.5
13,16,2.0
13,17,3.8
13,20,3.1
14,2,1.8
14,3,2.6
14,4,2.2
14,5,3.1
14,6,2.9
14,8,2.6
14,9,3.5
14,10,2.8
14,13,3.2
14,14,2.7
14,16,2.1
14,18,3.4
14,19,3.9
14,20,2.7
15,2,2.6
15,3,4.2
15,8,2.0
15,10,2.4
15,12,4.2
15,15,2.9
15,16,3.6
15,19,2.3
15,20,2.7
16,2,2.2
16,3,4.2
16,4,2.0
16,7,4.1
16,9,3.4
16,11,4.1
16,12,4.9
16,14,2.5
16,15,4.5
16,16,3.0
16,17,3.2
16,18,4.3
16,19,3.9
17,2,2.6
17,3,1.7
17,4,3.8
17,8,4.1
17,9,3.1
17,13,4.3
17,14,3.6
17,15,3.4
17,16,2.3
17,17,4.4
17,18,3.0
17,19,4.1
17,20,3.5
18,4,2.7
18,8,3.0
18,9,2.8
18,12,2.1
18,14,3.1
18,16,2.3
18,18,2.4
18,20,2.7
19,1,2.2
19,3,3.1
19,8,2.2
19,9,2.9
19,11,3.2
19,16,2.7
19,17,2.8
19,18,3.3
19,19,3.3
20,1,2.6
20,2,1.2
20,4,2.3
20,6,3.0
20,7,1.8
20,8,2.5
20,13,2.6
20,16,1.7
20,17,2.7
20,18,1.8
20,19,2.5
20,20,1.9
